region_name
R-A10m
L-A11l
R-A13
L-A38m
R-A22c
L-A22r
L-vId/vIg
R-vId/vIg
R-V5/MT+
L-mAmyg
R-mAmyg
L-lAmyg
R-lAmyg
L-rHipp
R-rHipp
